%   dft 	Mg/Ca
%   [mm]	[ppm]
0.05	2.351260137
0.10	1.935558693
0.15	1.739860598
0.20	1.387888844
0.25	1.830026567
0.30	2.01581321
0.35	2.286254314
0.40	1.795910651
0.45	1.693539033
0.50	1.770775643
0.55	1.861185111
0.60	1.793166754
0.65	1.715837638
0.70	1.660152373
0.75	1.935951912
0.80	2.206896552
0.85	1.488128876
0.90	1.910165269
0.95	1.99521443
1.00	1.541691042
1.05	1.579249941
1.10	1.682668172
1.15	1.73815551
1.20	1.832572451
1.25	1.914365735
1.30	1.950697159
1.35	2.063080003
1.40	2.134516545
1.45	1.975206539
1.50	2.596678599
1.55	1.846050799
1.60	1.645716489
1.65	1.670564651
1.70	1.581655466
1.75	1.542326265
1.80	1.549061847
1.85	1.722397497
1.90	1.5386815
1.95	1.932803652
2.00	1.492844121
2.05	1.669043903
2.10	1.8389005
2.15	1.740370461
2.20	1.882479494
2.25	2.183263284
2.30	1.860169129
2.35	1.829894501
2.40	2.173620662
2.45	2.053544265
2.50	1.803305678
2.55	1.732745206
2.60	2.093492667
2.65	1.68707823
2.70	1.864304314
2.75	1.737561622
2.80	1.683308717
2.85	1.897589177
2.90	1.887228084
2.95	1.88172043
3.00	1.762816055
3.05	1.782623298
3.10	2.068179463
3.15	1.777691301
3.20	1.750255504
3.25	1.822665809
3.30	1.843517644
3.35	1.845671408
3.40	1.761518821
3.45	1.618407487
3.50	1.729864637
3.55	1.405852769
3.60	1.878292069
3.65	1.455373496
3.70	1.249862881
3.75	1.78832205
3.80	1.737910744
3.85	1.610720533
3.90	1.434606157
3.95	1.936401101
4.00	1.72904766
4.05	1.345425553
4.10	1.785126259
4.15	1.435910856
4.20	1.473718145
4.25	1.372752645
4.30	1.405729993
4.35	1.437367797
4.40	1.281033025
4.45	1.571975775
4.50	1.512684437
4.55	1.497366619
4.60	1.430059285
4.65	1.646197017
4.70	2.243121009
4.75	1.730263574
4.80	1.641367345
4.85	1.350971811
4.90	1.438445305
4.95	1.631755547
5.00	0.995253407
5.05	1.436393009
5.10	1.692848603
5.15	1.463805445
5.20	1.599822913
5.25	1.44493324
5.30	1.676635276
5.35	1.808546168
5.40	1.580516653
5.45	1.49492825
5.50	1.197314185
5.55	1.360812748
5.60	1.329660936
5.65	1.227680049
5.70	1.612295929
5.75	1.59164184
5.80	1.410473654
5.85	1.504150588
5.90	1.426585223
5.95	1.452857231
6.00	1.271978813
6.05	1.245827726
6.10	1.201340245
6.15	1.368479148
6.20	1.443966449
6.25	1.270595669
6.30	1.755526658
6.35	1.660638241
6.40	1.381862031
6.45	1.640852034
6.50	1.557431287
6.55	1.424782447
6.60	1.641331133
6.65	2.104806131
6.70	1.478066548
6.75	1.365243286
6.80	1.228051277
6.85	1.339502398
6.90	1.448595729
6.95	1.599666815
7.00	1.643718581
7.05	1.512434898
7.10	1.396847117
7.15	1.531602454
7.20	1.882623773
7.25	1.386992057
7.30	1.355394188
7.35	1.476222518
7.40	1.245710603
7.45	1.313259687
7.50	1.562551077
7.55	1.49443229
7.60	1.494683824
7.65	1.506330135
7.70	1.226949939
7.75	1.487054168
7.80	1.537119772
7.85	1.915412364
7.90	1.831186251
7.95	1.470235238
8.00	1.524420687
8.05	1.429382624
8.10	1.755726261
8.15	1.607878258
8.20	1.544280064
8.25	1.556245733
8.30	1.786798508
8.35	1.34525973
8.40	1.44514302
8.45	1.401275512
8.50	1.123473702
8.55	1.555309357
8.60	1.712017291
8.65	1.894383251
8.70	1.71388749
8.75	2.187474991
8.80	1.258079583
8.85	1.71156821
8.90	1.924616354
8.95	1.865974685
9.00	2.299220564
9.05	2.242783439
9.10	2.628055284
9.15	2.643676605
9.20	2.11464916
9.25	2.406299526
9.30	2.311223096
9.35	2.223444735
9.40	1.510310545
9.45	1.420642824
9.50	1.301554542
9.55	1.633882232
9.60	1.839395227
9.65	1.443980766
9.70	1.188409029
9.75	1.313131313
9.80	1.323659951
9.85	1.330038742
9.90	1.32564806
9.95	1.10746292
10.00	1.211623897
10.05	1.226419302
10.10	
10.15	
10.20	
10.25	
10.30	
10.35	
10.40	1.308854907
10.45	1.531558159
10.50	1.770037096
10.55	1.826873157
10.60	1.98571175
10.65	2.051743207
10.70	1.808291751
10.75	1.78277147
10.80	1.76363829
10.85	1.357057667
10.90	1.545780091
10.95	1.827136386
11.00	1.304165619
11.05	1.436523014
11.10	1.244082204
11.15	1.446219368
11.20	1.473724429
11.25	1.59952651
11.30	1.254662977
11.35	1.426870099
11.40	1.409237151
11.45	1.905947888
11.50	2.467857921
11.55	2.165265569
11.60	1.891842168
11.65	1.564826012
11.70	1.770874617
11.75	1.742206093
11.80	1.991660452
11.85	1.852309212
11.90	2.093216655
11.95	1.39366313
12.00	1.521011408
12.05	1.724956634
12.10	1.567958986
12.15	1.130217947
12.20	1.352742902
12.25	1.375230535
12.30	1.335924603
12.35	1.450935712
12.40	1.229357566
12.45	1.508209058
12.50	1.631755435
12.55	1.304839891
