%depth[mm]	d13C
0	-2.40
0.2	-2.69
0.5	-3.13
0.8	-2.56
1.1	-2.69
1.4	-3.72
1.7	-4.47
2	-3.59
2.3	-4.37
2.6	-5.53
2.9	-3.70
3.2	-4.00
3.5	-5.14
3.8	-5.04
4.1	-5.13
4.4	-5.88
4.7	-5.91
5	-6.02
5.3	-6.57
5.6	-6.35
5.9	-5.08
6.2	-5.52
6.5	-4.54
6.8	-5.45
7.1	-5.11
7.4	-4.81
7.8	-4.03
8.1	-5.04
8.4	-6.22
8.7	-5.63
9	-4.90
9.3	-5.91
9.6	-3.07
9.9	-5.80
10.2	-5.32
10.5	-6.42
10.8	-6.24
11.1	-6.12
11.4	-5.79
11.7	-4.69
12	-6.46
12.3	-6.29
12.6	-5.68
12.9	-5.81
13.2	-5.56
13.5	-4.99
13.8	-5.84
14.1	-5.16
14.4	-4.51
14.7	-4.59
15	-5.42
15.3	-4.62
15.6	-6.02
15.9	-5.80
16.2	-5.94
16.5	-6.18
16.8	-6.06
17.1	-6.22
17.4	-6.12
17.7	-6.08
18	-5.96
18.3	-6.24
18.6	-5.86
18.9	-5.72
19.2	-6.35
19.5	-6.35
19.8	-6.02
20.1	-6.23
20.4	-5.50
20.7	-5.21
21	-6.64
21.3	-6.43
21.6	-6.88
21.9	-6.80
22.2	-6.88
22.5	-6.30
22.8	-5.79
23.1	-5.05
23.4	-5.57
23.7	-6.34
24	-6.56
24.2	-7.18
24.6	-6.83
24.9	-6.60
25.2	-6.27
25.5	-6.44
25.8	-2.40
26.1	-1.39
26.4	-2.89
26.7	-3.14
27	-1.71
27.3	-3.31
27.6	-1.85
27.9	-2.57
28.2	-3.15
28.5	-3.04
28.8	-2.64
29.1	-2.60
29.4	-1.48
29.7	0.57
30	-0.83
30.3	-4.08
30.6	-4.63
30.9	-6.08
31.2	-7.65
31.5	-6.70
31.8	-6.42
32.1	-4.93
32.4	-4.82
32.7	-5.96
33	-5.59
33.3	-5.94
33.6	-6.35
33.9	-5.55
34.2	-6.10
34.5	-5.34
34.8	-5.41
35.1	-6.40
35.4	-6.45
35.7	-6.22
36	-6.24
36.3	-6.63
36.6	-5.88
36.9	-4.65
37.2	-5.25
37.5	-6.56
37.8	-5.76
38.1	-6.16
38.4	-5.90
38.7	-3.71
39	-3.71
39.3	-2.41
39.6	-0.51
39.9	-1.67
40.2	-2.26
40.5	-2.49
40.8	-3.02
41.1	-2.89
41.4	-3.93
41.7	-4.73
42	-5.37
42.3	-4.96
42.6	-5.71
42.9	-6.49
43.2	-6.05
43.5	-5.97
43.8	-4.88
44.1	-2.90
44.4	-2.76
44.7	-4.43
45	-4.20
45.3	-4.73
