%   dft 	a14C 	a14Cerr 
%   [mm]	[fM]	[fm]
0	0.847037559	0.0032
0.1	0.847881537	0.0032
3	0.824049806	0.0031
7.5	0.855288263	0.0030
12.5	0.828594484	0.0028
17.5	0.826003297	0.0030
22.5	0.84059576	0.0029
27.5	0.792762684	0.0029
32.5	0.807385554	0.0028
37.5	0.777705022	0.0029
42.5	0.760760723	0.0028
47.5	0.767701286	0.0029
57.5	0.75819123	0.0030
67.5	0.732052738	0.0029
77.5	0.698310563	0.0029
87.5	0.661091614	0.0029
97.5	0.622875963	0.0029
107.5	0.571193976	0.0029
117.5	0.523799186	0.0029
127.5	0.49169743	0.0028
137.5	0.458416268	0.0028
147.5	0.423672724	0.0027
157.5	0.376985536	0.0028
167.5	0.343298805	0.0027
177.5	0.318272439	0.0028
192.5	0.287668359	0.0028
